sub_phylum	org_name_protein_id	org_name	stop_codon_pos	equal_to_cds	cassette_intron_start	intron_length_to_stop_codon	intron_length	first_exon_length	source
Nematoda	trichinella_spiralis_3	Trichinella_spiralis	84	False	83	1	417	83	datasets
Nematoda	brugia_malayi_2	Brugia_malayi	1095	False	956	139	243	110	datasets
Nematoda	caenorhabditis_elegans_0	Caenorhabditis_elegans	1089	False	896	193	106	110	datasets
Scalidophora	priapulus_caudatus_0	Priapulus_caudatus	1083	False	1082	1	2114	110	datasets
Chelicerata	varroa_destructor_5	Varroa_destructor	954	False	932	22	3077	110	datasets
Chelicerata	ixodes_scapularis_1	Ixodes_scapularis	1101	False	1100	1	3567	110	datasets
Chelicerata	galendromus_occidentalis_0	Galendromus_occidentalis	870	False	869	1	1491	110	datasets
Chelicerata	limulus_polyphemus_7	Limulus_polyphemus	921	False	920	1	915	110	datasets
Chelicerata	parasteatoda_tepidariorum_2	Parasteatoda_tepidariorum	939	False	938	1	1725	110	datasets
Chelicerata	tetranychus_urticae_6	Tetranychus_urticae	924	False	893	31	648	122	datasets
Chelicerata	varroa_jacobsoni_4	Varroa_jacobsoni	954	False	932	22	3077	110	datasets
Crustacea	amphibalanus_amphitrite_0	Amphibalanus_amphitrite	1173	False	1100	73	369	110	datasets
Crustacea	pollicipes_pollicipes_4	Pollicipes_pollicipes	1440	False	1004	436	367	110	datasets
Crustacea	lepeophtheirus_salmonis_3	Lepeophtheirus_salmonis	999	False	977	22	1555	110	datasets
Crustacea	homarus_americanus_5	Homarus_americanus	807	False	776	31	9821	110	datasets
Polyneoptera	cryptotermes_secundus_0	Cryptotermes_secundus	1047	False	1046	1	4335	110	datasets
Paraneoptera	melanaphis_sacchari_5	Melanaphis_sacchari	1134	False	1037	97	71	107	datasets
Paraneoptera	sipha_flava_1	Sipha_flava	1038	False	1037	1	58	107	datasets
Paraneoptera	pediculus_humanus_corporis_18	Pediculus_humanus_corporis	966	False	947	19	631	110	datasets
Paraneoptera	diuraphis_noxia_12	Diuraphis_noxia	1239	False	1238	1	742	107	datasets
Paraneoptera	acyrthosiphon_pisum_17	Acyrthosiphon_pisum	1071	False	1043	28	68	107	datasets
Paraneoptera	myzus_persicae_10	Myzus_persicae	1167	False	1166	1	772	107	datasets
Paraneoptera	halyomorpha_halys_4	Halyomorpha_halys	1044	False	1043	1	7270	110	datasets
Paraneoptera	rhopalosiphum_maidis_20	Rhopalosiphum_maidis	2385	True	1040	1345	69	107	datasets
Paraneoptera	cimex_lectularius_3	Cimex_lectularius	1074	False	1073	1	4437	110	datasets
Endopterygota	vespa_mandarinia_54	Vespa_mandarinia	1023	False	1022	1	379	113	datasets
Endopterygota	zerene_cesonia_21	Zerene_cesonia	948	False	947	1	1162	110	datasets
Endopterygota	pararge_aegeria_17	Pararge_aegeria	948	False	947	1	2657	110	datasets
Endopterygota	maniola_hyperantus_22	Maniola_hyperantus	951	False	950	1	920	110	datasets
Endopterygota	apis_laboriosa_44	Apis_laboriosa	1023	False	1022	1	1254	113	datasets
Endopterygota	manduca_sexta_8	Manduca_sexta	963	False	962	1	1796	110	datasets
Endopterygota	odontomachus_brunneus_56	Odontomachus_brunneus	1071	False	1061	10	498	113	datasets
Endopterygota	ceratitis_capitata_6	Ceratitis_capitata	1005	False	986	19	2023	110	datasets
Endopterygota	vespula_pensylvanica_14	Vespula_pensylvanica	1035	False	1034	1	363	113	datasets
Endopterygota	megalopta_genalis_12	Megalopta_genalis	1041	False	1040	1	373	113	datasets
Endopterygota	vanessa_tameamea_28	Vanessa_tameamea	945	False	944	1	2352	110	datasets
Endopterygota	bactrocera_dorsalis_5	Bactrocera_dorsalis	1008	False	995	13	1808	110	datasets
Endopterygota	papilio_xuthus_16	Papilio_xuthus	948	False	947	1	999	110	datasets
Endopterygota	cephus_cinctus_57	Cephus_cinctus	1032	False	1031	1	75	113	datasets
Endopterygota	bombus_pyrosoma_47	Bombus_pyrosoma	1035	False	1034	1	244	113	datasets
Endopterygota	papilio_polytes_30	Papilio_polytes	954	False	953	1	1674	110	datasets
Endopterygota	vespa_velutina_40	Vespa_velutina	1023	False	1022	1	377	113	datasets
Endopterygota	ostrinia_furnacalis_27	Ostrinia_furnacalis	963	False	962	1	1946	110	datasets
Endopterygota	cotesia_glomerata_34	Cotesia_glomerata	1071	False	998	73	236	116	datasets
Endopterygota	colletes_gigas_52	Colletes_gigas	1038	False	1037	1	379	113	datasets
Endopterygota	vespa_crabro_33	Vespa_crabro	1023	False	1022	1	381	113	datasets
Endopterygota	venturia_canescens_20	Venturia_canescens	1074	False	1073	1	621	113	datasets
Endopterygota	danaus_plexippus_24	Danaus_plexippus	942	False	941	1	1009	110	datasets
Endopterygota	aethina_tumida_15	Aethina_tumida	1008	False	989	19	1729	110	datasets
Endopterygota	drosophila_melanogaster_0	Drosophila_melanogaster	996	False	983	13	1602	110	datasets
Endopterygota	polistes_fuscatus_49	Polistes_fuscatus	1035	False	1034	1	400	113	datasets
Endopterygota	anoplophora_glabripennis_7	Anoplophora_glabripennis	960	False	938	22	3664	110	datasets
Endopterygota	acromyrmex_echinatior_59	Acromyrmex_echinatior	1062	False	1061	1	438	113	datasets
Endopterygota	orussus_abietinus_39	Orussus_abietinus	1026	False	1025	1	74	113	datasets
Endopterygota	aphidius_gifuensis_42	Aphidius_gifuensis	1011	False	1010	1	240	113	datasets
Endopterygota	leptopilina_heterotoma_31	Leptopilina_heterotoma	1041	False	1040	1	921	113	datasets
