"Название
организма"	"Кол-во
нуклеотидов
до стоп-кодона
в интроне"	"Длина
1-го экзона
в кассете"	"Длина
кассетного
интрона"	"Длина
2-го экзона
в кассете"
Chanos chanos	1	110	3568	37
Danio rerio	1	110	3580	37
Denticeps clupeoides	7	110	2629	37
Labrus bergylta	10	110	2684	37
Cottoperca gobio	16	110	2388	37
Xiphophorus couchianus	22	110	2227	37
Larimichthys crocea	22	110	2340	37
Lates calcarifer	22	110	2434	37
Notothenia coriiceps	22	110	2886	37
Betta splendens	22	110	2274	37
Poecilia reticulata	22	110	2262	37
Takifugu rubripes	22	110	2114	37
Salarias fasciatus	22	110	3855	37
Poecilia mexicana	22	110	2247	37
Stegastes partitus	22	110	2900	37
Clupea harengus	22	110	3219	37
Archocentrus centrarchus	22	110	2644	37
Esox lucius	22	110	2848	37
Monopterus albus	22	110	2353	37
Echeneis naucrates	22	110	2314	37
Paralichthys olivaceus	22	110	3148	37
Maylandia zebra	22	110	2565	37
Parambassis ranga	22	110	2484	37
Sander lucioperca	22	110	2494	37
Xiphophorus maculatus	22	110	2231	37
Nothobranchius furzeri	22	110	2290	37
Anabas testudineus	22	110	2352	37
Acanthochromis polyacanthus	22	110	2797	37
Anarrhichthys ocellatus	22	110	2355	37
Boleophthalmus pectinirostris	22	110	1702	37
Sparus aurata	22	110	2361	37
Oryzias melastigma	22	110	2212	37
Seriola dumerili	22	110	2494	37
Poecilia formosa	22	110	2259	37
Oreochromis niloticus	22	110	2580	37
Kryptolebias marmoratus	22	110	2556	37
Xiphophorus hellerii	22	110	2240	37
Poecilia latipinna	22	110	2261	37
Pundamilia nyererei	22	110	2527	37
Hippocampus comes	22	110	2622	37
Oreochromis aureus	22	110	2579	37
Amphiprion ocellaris	22	110	2752	37
Seriola lalandi dorsalis	22	110	2481	37
Austrofundulus limnaeus	22	110	2541	37
Puntigrus tetrazona	25	110	2440	37
Fundulus heteroclitus	25	110	2476	37
Cyprinodon variegatus	28	110	2533	37
Haplochromis burtoni	31	110	2535	37
Astatotilapia calliptera	31	110	2571	37
Gouania willdenowi	37	110	2616	37
Oryzias latipes	40	110	2331	37
Sphaeramia orbicularis	43	110	2376	37
Pygocentrus nattereri	46	110	2649	37
Astyanax mexicanus	46	110	2791	37
Colossoma macropomum	46	110	2644	37
Ictalurus punctatus	46	110	3166	37
Tachysurus fulvidraco	46	110	3493	37
Pangasianodon hypophthalmus	46	110	3348	37
Erpetoichthys calabaricus	55	110	3662	37
Perca flavescens	58	110	2378	37
Mastacembelus armatus	64	110	2371	37
Salmo salar	67	110	3553	37
Gadus morhua	67	110	3151	37
Etheostoma spectabile	97	110	2457	37
Scleropages formosus	112	110	3412	37
Myripristis murdjan	112	110	2492	37
Paramormyrops kingsleyae	121	110	2929	37
Carassius auratus	148	110	3854	37
Sinocyclocheilus grahami	148	110	3330	37
Sinocyclocheilus rhinocerous	154	110	3449	37
Sinocyclocheilus anshuiensis	154	110	4202	37
Electrophorus electricus	283	110	2874	37
