"Название
организма"	"Кол-во
нуклеотидов
до стоп-кодона
в интроне"	"Длина
1-го экзона
в кассете"	"Длина
кассетного
интрона"	"Длина
2-го экзона
в кассете"
Molothrus aeneus	1	110	745	37
Taeniopygia guttata	1	110	443	37
Lonchura striata	1	110	629	37
Gallus gallus	7	110	1616	37
Cygnus atratus	25	110	1257	37
Haliaeetus leucocephalus	25	110	1375	37
Phalacrocorax carbo	25	110	1345	37
Grus americana	25	110	1659	37
Haliaeetus albicilla	25	110	1378	37
Oxyura jamaicensis	25	110	1246	37
Anser cygnoides	25	110	1279	37
Ciconia boyciana	25	107	1459	37
Anas acuta	25	110	1346	37
Astur gentilis	25	110	1393	37
Aquila chrysaetos chrysaetos	25	110	1375	37
Aythya fuligula	25	110	1227	37
Struthio camelus	64	110	1405	37
Chelonia mydas	79	110	1674	37
Dermochelys coriacea	79	110	1661	37
Caretta caretta	79	110	1656	37
Ammospiza caudacuta	82	110	3942	37
Aphelocoma coerulescens	85	110	3626	37
Gopherus flavomarginatus	142	110	1655	37
Chelonoidis abingdonii	142	110	1645	37
Malaclemys terrapin pileata	142	110	1652	37
Mauremys mutica	142	110	1662	37
Mauremys reevesii	142	110	1661	37
Trachemys scripta elegans	142	110	1661	37
Chrysemys picta bellii	142	110	1662	37
Emys orbicularis	142	110	1650	37
Alligator sinensis	148	110	1497	37
Alligator mississippiensis	148	110	1618	37
Caloenas nicobarica	184	110	1245	37
Rissa tridactyla	205	110	1388	37
Terrapene triunguis	211	110	1662	37
Emydura macquarii macquarii	223	110	1647	37
Catharus ustulatus	241	110	3252	37
Gopherus evgoodei	301	110	1639	37
Strigops habroptila	457	110	1317	37
Neopsephotus bourkii	502	110	1245	37
Melopsittacus undulatus	517	110	1257	37
Apteryx rowi	541	110	1359	37
Apteryx mantelli	541	110	1359	37
Dromaius novaehollandiae	553	110	1365	37
Chroicocephalus ridibundus	562	110	1373	37
Pezoporus wallicus	568	110	1328	37
Pezoporus flaviventris	568	110	1328	37
Rhea pennata	568	110	1348	37
Pezoporus occidentalis	568	110	1319	37
Pelodiscus sinensis	640	110	1643	37
Phaenicophaeus curvirostris	892	110	2155	37
Camarhynchus parvulus	1360	110	2456	37
Vidua chalybeata	1519	110	678	37
