"Название
организма"	"Кол-во
нуклеотидов
до стоп-кодона
в интроне"	"Длина
1-го экзона
в кассете"	"Длина
кассетного
интрона"	"Длина
2-го экзона
в кассете"
Trichinella spiralis	1	83	417	37
Priapulus caudatus	1	110	2114	37
Galendromus occidentalis	1	110	1491	37
Ixodes scapularis	1	110	3567	37
Limulus polyphemus	1	110	915	37
Parasteatoda tepidariorum	1	110	1725	37
Cryptotermes secundus	1	110	4335	37
Maniola hyperantus	1	110	920	37
Cimex lectularius	1	110	4437	37
Vespa mandarinia	1	113	379	37
Zerene cesonia	1	110	1162	37
Pararge aegeria	1	110	2657	37
Myzus persicae	1	107	772	37
Halyomorpha halys	1	110	7270	37
Diuraphis noxia	1	107	742	37
Sipha flava	1	107	58	37
Manduca sexta	1	110	1796	37
Apis laboriosa	1	113	1254	37
Orussus abietinus	1	113	74	37
Danaus plexippus	1	110	1009	37
Colletes gigas	1	113	379	37
Ostrinia furnacalis	1	110	1946	37
Vespa crabro	1	113	381	37
Venturia canescens	1	113	621	37
Papilio polytes	1	110	1674	37
Vespa velutina	1	113	377	37
Cephus cinctus	1	113	75	37
Bombus pyrosoma	1	113	244	37
Papilio xuthus	1	110	999	37
Vanessa tameamea	1	110	2352	37
Megalopta genalis	1	113	373	37
Vespula pensylvanica	1	113	363	37
Leptopilina heterotoma	1	113	921	37
Acromyrmex echinatior	1	113	438	37
Aphidius gifuensis	1	113	240	37
Polistes fuscatus	1	113	400	37
Dirofilaria immitis	7	98	248	37
Odontomachus brunneus	10	113	498	37
Diploscapter pachys	10	110	662	37
Bactrocera dorsalis	13	110	1808	37
Drosophila melanogaster	13	110	1602	37
Ceratitis capitata	19	110	2023	37
Pediculus humanus corporis	19	110	631	37
Aphelenchoides avenae	19	110	441	37
Litomosoides sigmodontis	19	110	242	37
Acanthocheilonema viteae	19	110	225	37
Aethina tumida	19	110	1729	37
Lepeophtheirus salmonis	22	110	1555	37
Anoplophora glabripennis	22	110	3664	37
Varroa jacobsoni	22	110	3077	37
Varroa destructor	22	110	3077	37
Thelazia callipaeda	25	110	209	37
Bursaphelenchus xylophilus	25	110	638	37
Acyrthosiphon pisum	28	107	68	37
Anisakis simplex	30	219	665	37
Tetranychus urticae	31	122	648	37
Homarus americanus	31	110	9821	37
Bursaphelenchus okinawaensis	37	110	593	37
Globodera pallida	43	113	47	37
Amphibalanus amphitrite	73	110	369	37
Cotesia glomerata	73	116	236	37
Caenorhabditis angaria	79	110	96	37
Onchocerca ochengi	88	110	243	37
Brugia pahangi	91	110	232	37
Ditylenchus destructor	97	307	1167	37
Mesorhabditis belari	97	110	147	37
Melanaphis sacchari	97	107	71	37
Enterobius vermicularis	100	110	195	37
Pristionchus mayeri	103	110	131	37
Cercopithifilaria johnstoni	103	110	238	37
Steinernema carpocapsae	106	110	131	37
Wuchereria bancrofti	106	125	242	37
Parelaphostrongylus tenuis	112	110	228	37
Toxocara canis	115	110	1062	37
Necator americanus	136	110	243	37
Brugia malayi	139	110	243	37
Caenorhabditis auriculariae	145	110	156	37
Auanema sp. JU1783	145	110	80	37
Pristionchus entomophagus	151	110	154	37
Steinernema hermaphroditum	157	110	131	37
Caenorhabditis brenneri	175	110	130	37
Angiostrongylus cantonensis	181	110	213	37
Dictyocaulus viviparus	190	110	832	37
Caenorhabditis elegans	193	110	106	37
Cooperia oncophora	205	110	215	37
Caenorhabditis sp. 36 PRJEB53466	205	110	133	37
Caenorhabditis nigoni	214	110	142	37
Pristionchus pacificus	214	110	251	37
Trichostrongylus colubriformis	214	110	224	37
Caenorhabditis briggsae	217	110	145	37
Cylicocyclus nassatus	229	110	239	37
Haemonchus contortus	304	110	220	37
Caenorhabditis bovis	316	110	235	37
Nippostrongylus brasiliensis	316	110	235	37
Dracunculus medinensis	334	110	122	37
Mesorhabditis spiculigera	376	110	173	37
Pollicipes pollicipes	436	110	367	37
Rhopalosiphum maidis	1345	107	69	37
