"Название
организма"	"Кол-во
нуклеотидов
до стоп-кодона
в интроне"	"Длина
1-го экзона
в кассете"	"Длина
кассетного
интрона"	"Длина
2-го экзона
в кассете"
Schistosoma haematobium	1	239	652	37
Magallana gigas	1	110	1537	37
Mya arenaria	1	110	1727	37
Crassostrea virginica	1	110	1613	37
Aplysia californica	1	221	4146	37
Gigantopelta aegis	1	110	1869	37
Mercenaria mercenaria	1	110	1690	37
Dreissena polymorpha	1	110	2207	37
Ruditapes philippinarum	1	110	1646	37
Mactra antiquata	1	110	2319	37
Mytilus coruscus	1	110	1234	37
Potamilus streckersoni	1	110	4567	37
Saccostrea echinata	1	110	1556	37
Mytilus edulis	1	110	1360	37
Mytilus trossulus	1	110	1357	37
Pecten maximus	1	110	5000	37
Ostrea edulis	1	110	1643	37
Mizuhopecten yessoensis	1	110	4836	37
Saccostrea cuccullata	1	110	1706	37
Ylistrum balloti	1	110	4649	37
Argopecten irradians	1	110	5057	37
Magallana angulata	1	110	1534	37
Mytilus californianus	1	110	1248	37
Pinctada imbricata	1	110	4144	37
Haliotis asinina	1	110	2375	37
Sinanodonta woodiana	1	110	4580	37
Haliotis cracherodii	1	110	2506	37
Haliotis rufescens	1	110	2505	37
Patella caerulea	1	110	1362	37
Patella vulgata	1	110	1384	37
Lymnaea stagnalis	1	221	2705	37
Batillaria attramentaria	1	110	8614	37
Schistosoma turkestanicum	1	239	905	37
Paragonimus westermani	1	239	13971	37
Pomacea canaliculata	1	56	255	37
Bradybaena similaris	1	221	3811	37
Elysia crispata	1	221	8063	37
Elysia chlorotica	1	221	7182	37
Bulinus truncatus	1	221	1873	37
Biomphalaria pfeifferi	1	221	1885	37
Biomphalaria glabrata	1	221	1889	37
Schistosoma guineensis	1	239	652	37
Schistosoma curassoni	1	239	652	37
Schistosoma bovis	1	239	652	37
Schistosoma margrebowiei	1	239	650	37
Schistosoma intercalatum	1	239	652	37
Schistosoma rodhaini	1	239	671	37
Schistosoma japonicum	1	239	847	37
Clonorchis sinensis	1	242	6006	37
Hydatigera taeniaeformis	1	242	375	37
Taenia crassiceps	1	242	278	37
Taenia asiatica	1	242	480	37
Heterobilharzia americana	1	239	2163	37
Trichobilharzia szidati	1	239	1336	37
Trichobilharzia regenti	1	239	996	37
Opisthorchis felineus	1	242	14603	37
Rodentolepis nana	1	242	222	37
Calicophoron daubneyi	1	239	4214	37
Taenia solium	1	242	480	37
Echinococcus granulosus	1	242	521	37
Fasciola hepatica	1	239	2631	37
Fasciola gigantica	1	239	2581	37
Schistosoma mattheei	1	239	649	37
Fasciolopsis buskii	1	239	1303	37
Dicrocoelium dendriticum	1	239	2612	37
Paragonimus heterotremus	1	239	18219	37
Hymenolepis diminuta	1	242	224	37
Solemya velum	4	110	2071	37
Littorina saxatilis	19	218	6746	37
