"Название
организма"	"Кол-во
нуклеотидов
до стоп-кодона
в интроне"	"Длина
1-го экзона
в кассете"	"Длина
кассетного
интрона"	"Длина
2-го экзона
в кассете"
Python bivittatus	1	110	2374	37
Notechis scutatus	1	110	2507	37
Pseudonaja textilis	1	110	2519	37
Anolis sagrei	1	110	4667	37
Pituophis catenifer annectens	1	110	2420	37
Lacerta agilis	1	110	2499	37
Candoia aspera	1	110	2293	37
Sphaerodactylus townsendi	1	110	2825	37
Thamnophis elegans	1	110	2426	37
Ahaetulla prasina	1	110	2432	37
Gekko japonicus	1	110	2924	37
Crotalus tigris	1	110	3091	37
Pogona vitticeps	1	110	2746	37
Podarcis raffonei	1	110	2495	37
Protobothrops mucrosquamatus	1	110	3264	37
Varanus komodoensis	1	110	2658	37
Pantherophis guttatus	1	110	2411	37
Elgaria multicarinata webbii	1	110	2800	37
Rhineura floridana	1	110	2581	37
Podarcis muralis	1	110	2506	37
Heteronotia binoei	1	110	3002	37
Anolis carolinensis	1	110	4026	37
Erythrolamprus reginae	1	110	2638	37
Sceloporus undulatus	1	110	2380	37
Eublepharis macularius	1	110	2577	37
Euleptes europaea	1	110	2901	37
Hemicordylus capensis	1	110	2830	37
Zootoca vivipara	1	110	2516	37
